label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128
0,4,0,0,14,278,7,0,0,1,0,3,72,3,89,5,0,0,99,1,33,78,21,9,0,0,1,39,331,108,96,7,2,0,15,7,0,23,7,4,1,0,24,82,7,3,0,0,4,0,69,12,13,117,79,8,0,0,0,49,1450,1624,51,14,0,0,0,105,485,1023,229,48,3,0,0,107,14,3,49,11,9,0,0,26,0,36,9,1,0,3,1,0,22,6,25,0,0,0,0,56,3,96,18,0,3,0,51,0,7,2,4,71,0,6,12,166,1,0,32,159,0,0,92,304,0,3,15,48,0
0,0,4,0,12,531,1,0,0,0,15,0,92,3,99,1,0,0,3,0,159,72,41,3,0,20,0,56,574,105,84,0,7,6,1,107,105,270,0,0,1,1,2,157,179,31,0,0,3,0,2,3,113,78,54,7,0,0,0,107,1302,498,2,4,0,0,1,194,312,398,121,48,2,0,1,155,0,2,61,12,9,5,0,13,0,99,0,1,1,3,0,43,4,6,33,1,0,0,4,52,3,103,13,0,5,0,148,0,9,10,67,117,0,3,62,143,5,3,73,224,0,1,95,159,0,15,63,53,0
0,5,0,1,9,109,4,0,0,1,6,2,86,0,103,22,0,1,78,3,220,124,78,3,15,0,1,107,535,145,116,0,9,0,12,86,35,196,6,0,2,0,3,150,76,14,4,0,4,0,4,3,67,56,48,8,0,0,0,116,1437,506,9,4,0,0,1,329,432,593,127,49,3,4,1,190,35,5,62,12,5,3,1,25,0,99,6,3,0,3,2,60,15,25,32,0,0,0,1,56,3,100,1,6,6,0,150,0,9,3,60,121,3,3,63,63,0,0,80,249,0,1,118,92,0,2,66,132,0
0,2,11,0,15,414,0,0,1,0,0,15,88,3,121,70,1,0,88,3,163,95,80,2,2,19,7,39,383,110,135,1,9,0,14,77,41,169,6,0,1,0,3,138,116,9,3,0,0,0,4,0,75,60,44,7,0,0,0,122,1456,521,8,0,13,0,1,313,440,622,130,45,3,1,1,190,3,5,63,13,9,3,0,24,0,95,21,5,1,3,1,6,9,5,39,0,0,11,7,56,2,99,12,7,5,27,160,0,9,3,59,121,1,17,64,61,5,0,79,248,1,12,113,97,1,2,65,135,0
0,4,3,5,21,436,0,11,0,0,1,2,93,3,124,79,1,2,103,3,159,97,83,1,0,0,0,38,423,115,140,0,6,2,11,89,48,185,6,0,2,0,3,143,103,10,3,0,5,0,5,8,77,59,44,6,2,0,0,123,1462,523,8,3,0,1,0,345,380,636,126,41,1,4,1,202,14,0,66,9,10,2,0,15,0,94,23,0,3,3,2,62,5,4,47,0,0,0,2,56,1,112,5,7,4,6,151,0,8,15,104,120,0,3,63,62,8,9,75,254,5,2,117,100,1,7,63,136,1
0,1,0,17,26,440,2,0,0,0,0,11,88,3,122,83,0,0,76,2,161,96,80,7,1,6,7,35,390,114,130,0,10,0,11,76,45,179,7,0,0,7,1,135,86,7,4,9,4,0,3,2,71,57,48,15,5,0,0,123,1430,527,7,8,9,0,1,327,448,630,135,40,4,0,1,191,2,3,63,15,9,3,0,20,0,97,15,0,1,3,1,16,16,6,40,0,0,0,3,0,0,100,13,7,4,0,156,5,16,2,60,120,0,15,67,55,14,0,79,249,0,9,124,100,6,3,68,136,0
0,6,0,8,20,444,2,6,0,1,5,3,93,3,122,81,0,2,97,1,164,97,77,12,0,0,0,32,416,111,117,3,5,12,7,62,39,167,12,0,3,11,6,133,105,1,1,0,5,3,0,3,88,60,56,7,0,5,0,125,1470,538,14,4,0,2,0,328,459,633,144,45,3,0,1,129,1,4,66,12,9,5,0,27,0,96,3,0,1,0,1,47,12,14,43,0,0,0,3,56,3,103,8,7,5,0,144,0,8,0,57,120,2,4,64,63,7,0,81,247,1,2,118,99,1,0,79,143,1
0,4,0,12,24,451,0,0,2,0,0,4,117,3,117,81,1,6,119,0,172,102,82,9,2,6,0,68,425,107,120,0,10,115,12,76,31,179,7,0,2,7,9,131,105,7,4,0,3,0,3,1,72,64,47,7,0,0,0,118,1441,540,7,4,0,0,15,327,453,635,131,44,3,0,7,192,3,3,65,15,8,0,0,22,0,93,17,1,2,22,0,14,11,4,40,0,0,0,1,79,0,101,13,13,21,0,143,0,0,0,63,118,0,3,67,63,10,0,81,251,0,1,121,95,1,3,68,227,0
0,4,2,7,21,459,0,0,0,0,1,3,92,8,106,60,0,2,117,1,186,103,74,11,0,1,0,76,531,141,147,0,10,71,10,56,11,163,8,0,1,1,10,106,87,15,1,0,3,0,3,3,89,66,49,7,0,0,0,115,1407,497,3,4,0,1,0,265,411,557,126,48,3,0,1,199,0,4,56,14,10,4,0,0,0,88,14,3,1,3,0,33,23,6,33,0,0,0,2,35,3,96,0,7,3,0,126,0,9,0,48,123,0,3,63,88,1,5,78,253,0,3,124,169,0,2,75,204,0
0,6,1,0,18,468,0,0,2,1,0,3,104,19,113,74,0,3,116,6,191,118,79,13,0,0,0,118,444,120,147,0,17,0,13,71,22,115,7,0,0,3,24,126,70,5,7,0,4,0,1,0,75,65,49,7,0,0,0,113,1440,532,7,4,0,0,12,311,439,625,132,46,3,0,3,189,3,3,64,13,7,3,0,21,0,90,17,1,1,6,0,68,2,7,35,0,0,0,9,48,35,99,4,5,11,2,139,0,8,0,60,121,7,0,59,61,1,0,83,254,1,0,110,95,8,3,62,215,2
